"day","stat_type","bo_type","p_value","f_value","significant","p_adjusted","significant_adjusted"
19,"mean","bo",0.0613040468129499,3.00746205811967,FALSE,0.388258963148683,FALSE
19,"median","bo",0.25208558591661,1.42918653540036,FALSE,0.532180681379509,FALSE
19,"min","bo",0.116000192459237,2.28102864172292,FALSE,0.524879741554964,FALSE
19,"sd","bo",0.0605175089943176,3.02242425788869,FALSE,0.762966567191472,FALSE
19,"skew","bo",0.737516938925107,0.306918771090151,FALSE,0.875801364973565,FALSE
20,"cv","bo",0.276562938450988,1.3310188220532,FALSE,0.725155524933171,FALSE
20,"iqr","bo",0.360323156959893,1.04867112458139,FALSE,0.953945771848484,FALSE
20,"kurt","bo",0.620016361704769,0.484238431337655,FALSE,0.883949696338957,FALSE
20,"max","bo",0.312334135838318,1.20005617357256,FALSE,0.609616457629501,FALSE
20,"mean","bo",0.743238446276214,0.299067674005767,FALSE,0.830678263485181,FALSE
20,"median","bo",0.866655787322794,0.143653738001865,FALSE,0.890078916709896,FALSE
20,"min","bo",0.772535367039165,0.259838188110069,FALSE,0.986746596145488,FALSE
20,"sd","bo",0.271816945166441,1.34958245326388,FALSE,0.762966567191472,FALSE
20,"skew","bo",0.283877689226722,1.30305532371832,FALSE,0.768431908398857,FALSE
21,"cv","bo",0.307817976568592,1.21554698410029,FALSE,0.731067694350406,FALSE
21,"iqr","bo",0.754619913728502,0.283637354451145,FALSE,0.953945771848484,FALSE
21,"kurt","bo",0.181605751064849,1.7848445148141,FALSE,0.706828791152096,FALSE
21,"max","bo",0.428240553990604,0.867281895367372,FALSE,0.658510937286434,FALSE
21,"mean","bo",0.00402046233082546,6.40062120201853,TRUE,0.0763887842856838,FALSE
21,"median","bo",0.00017292361465497,10.9751433779649,TRUE,0.00657109735688886,TRUE
21,"min","bo",0.268064656864793,1.36321073882141,FALSE,0.679097130724143,FALSE
21,"sd","bo",0.321249080922725,1.17015756071884,FALSE,0.762966567191472,FALSE
21,"skew","bo",0.0395953031364662,3.51965997122053,TRUE,0.306462530536582,FALSE
22,"cv","bo",0.280891247119351,1.31096350479877,FALSE,0.725155524933171,FALSE
22,"iqr","bo",0.0232744956003021,4.13714957836073,TRUE,0.294810277603826,FALSE
22,"kurt","bo",0.0256840375324485,4.01855250927557,TRUE,0.487996713116522,FALSE
22,"max","bo",0.178989929274957,1.79659054056391,FALSE,0.559662832371789,FALSE
22,"mean","bo",0.00150714557291054,7.67720532232049,TRUE,0.0572715317706005,FALSE
22,"median","bo",0.00441642741489906,6.22868037619195,TRUE,0.0419560604415411,TRUE
22,"min","bo",0.12431362299986,2.1974997350923,FALSE,0.524879741554964,FALSE
22,"sd","bo",0.315728481706106,1.1867483212207,FALSE,0.762966567191472,FALSE
22,"skew","bo",0.0592124471457849,3.03612068769758,FALSE,0.321438998791404,FALSE
23,"cv","bo",0.509139939091332,0.686852178206477,FALSE,0.88530743276796,FALSE
23,"iqr","bo",0.785036070867388,0.243533804219366,FALSE,0.953945771848484,FALSE
23,"kurt","bo",0.748842874257086,0.291381658456292,FALSE,0.883949696338957,FALSE
23,"max","bo",0.810446522130083,0.211306601229276,FALSE,0.840011026891423,FALSE
23,"mean","bo",0.210512505460561,1.62215906230718,FALSE,0.527566084460104,FALSE
23,"median","bo",0.358064453884168,1.05456998524508,FALSE,0.5669353853166,FALSE
23,"min","bo",0.940381500261166,0.0615666216207041,FALSE,0.986746596145488,FALSE
23,"sd","bo",0.524835357891844,0.655445497711434,FALSE,0.87490933723026,FALSE
23,"skew","bo",0.905497751232721,0.0995235972474281,FALSE,0.9299706634282,FALSE
24,"cv","bo",0.710793640530941,0.344303166861129,FALSE,0.964527647535271,FALSE
24,"iqr","bo",0.553268919787312,0.600757123929078,FALSE,0.953945771848484,FALSE
24,"kurt","bo",0.34074914758352,1.10611289217978,FALSE,0.790705501836715,FALSE
24,"max","bo",0.320850767173422,1.1697067254128,FALSE,0.609616457629501,FALSE
24,"mean","bo",0.149219760069204,1.99574513163405,FALSE,0.527566084460104,FALSE
24,"median","bo",0.10924345107463,2.34139181357975,FALSE,0.377974338225434,FALSE
24,"min","bo",0.989829548347094,0.0102251370089324,FALSE,0.989829548347094,FALSE
24,"sd","bo",0.717710318513315,0.334454959504499,FALSE,0.960452783769663,FALSE
24,"skew","bo",0.235945134759922,1.49757359234199,FALSE,0.689685778529004,FALSE
25,"cv","bo",0.185693099354248,1.7649155291285,FALSE,0.725155524933171,FALSE
25,"iqr","bo",0.173828076029375,1.83755139441304,FALSE,0.953945771848484,FALSE
25,"kurt","bo",0.104807836094617,2.40304908130867,FALSE,0.706828791152096,FALSE
25,"max","bo",0.300696839654329,1.24267061915281,FALSE,0.609616457629501,FALSE
25,"mean","bo",0.023223191784761,4.1847542025352,TRUE,0.294160429273639,FALSE
25,"median","bo",0.143740096843893,2.04812359470013,FALSE,0.390151691433425,FALSE
25,"min","bo",0.262019537536128,1.39042378687123,FALSE,0.679097130724143,FALSE
25,"sd","bo",0.192343968489577,1.72631290483033,FALSE,0.762966567191472,FALSE
25,"skew","bo",0.139327030134699,2.08288471003771,FALSE,0.582256712577772,FALSE
26,"cv","bo",0.742579019873334,0.299908903299059,FALSE,0.964527647535271,FALSE
26,"iqr","bo",0.755883607177592,0.281885875770106,FALSE,0.953945771848484,FALSE
