"day","stat_type","rhr_type","n_diabetes_surgery1","n_no_diabetes_surgery0","mean_diabetes_surgery1","mean_no_diabetes_surgery0","sd_diabetes_surgery1","sd_no_diabetes_surgery0","p_value","cohens_d","significant","p_adjusted","significant_adjusted"
4,"mean","rhr_1",15,19,78.3238513604302,62.7824898573701,10.3021694906449,6.14454282694533,3.73674413757594e-05,1.83226632153621,TRUE,0.000138914956032804,TRUE
5,"mean","rhr_1",15,19,78.7259530338578,63.5618263021333,8.17579612475292,5.73969001387587,2.62078556833958e-06,2.14681159468337,TRUE,2.95591131456157e-05,TRUE
6,"mean","rhr_1",14,19,80.1945691599938,64.224619124841,9.40177329365693,6.22743000425573,1.70706181554701e-05,2.00271432593272,TRUE,8.37362745178335e-05,TRUE
7,"mean","rhr_1",14,18,79.4805219374641,64.0579812706738,11.0130743939343,5.84891200699713,0.000147799979003702,1.74907771177681,TRUE,0.000295599958007404,TRUE
8,"mean","rhr_1",14,21,78.4218298699735,66.4319575762752,7.88479049268049,7.96044765078287,0.000144501168554256,1.51335505507885,TRUE,0.000295599958007404,TRUE
9,"mean","rhr_1",14,21,78.7719394662156,65.4273081446332,10.2351308689198,10.3162712109778,0.000776685610146981,1.29864884768215,TRUE,0.0010211255052875,TRUE
10,"mean","rhr_1",13,21,77.0847540586059,66.4627118970652,7.26468365324549,10.40015799636,0.00141561097226351,1.18411118727748,TRUE,0.00163009748321253,TRUE
11,"mean","rhr_1",13,20,77.3608491433052,65.3215225370937,8.00539942612083,9.88230673338007,0.00060201929338738,1.3387512024735,TRUE,0.000915069325948818,TRUE
12,"mean","rhr_1",12,20,76.506859305824,65.0827343742192,9.00557540083939,8.87074632088279,0.00195652309390609,1.27809290779825,TRUE,0.00212422507338376,TRUE
13,"mean","rhr_1",13,19,77.3294560681817,66.2859361485238,8.63864542483816,9.31017760706882,0.0018892392133093,1.22969608889303,TRUE,0.00211150265016922,TRUE
14,"mean","rhr_1",11,21,78.235606403329,65.1084546271179,9.35668304207635,9.6757633578188,0.00124742041945302,1.37925593806099,TRUE,0.00148131174810046,TRUE
15,"mean","rhr_1",11,22,78.662973962766,68.6215014470449,10.3019529129083,10.9842006844981,0.0172879932491512,0.942990355300965,TRUE,0.0182484373185485,TRUE
16,"mean","rhr_1",11,21,78.3084076951401,68.805616033724,10.2996883359514,12.8595365685236,0.0321538219038259,0.815680865037594,TRUE,0.0321538219038259,TRUE
17,"mean","rhr_1",11,21,78.9210455983993,65.006546656641,9.79952952812256,7.58126510774865,0.000779279990877303,1.58825190039371,TRUE,0.0010211255052875,TRUE
18,"mean","rhr_1",11,21,78.4075862202621,64.719582344747,8.82473242268911,7.22707471319612,0.000360964851329602,1.69709284138269,TRUE,0.000623484743205676,TRUE
19,"mean","rhr_1",12,22,80.1497152622469,63.9877821788562,10.4804795119234,7.79333689820905,0.000191047380099513,1.75004267011121,TRUE,0.000362990022189074,TRUE
20,"mean","rhr_1",13,21,78.1827056057593,66.5049892461338,8.40948461798525,9.66716482050329,0.000890489150840867,1.28890640624778,TRUE,0.00112795292439843,TRUE
21,"mean","rhr_1",14,22,79.7262777538489,64.7245911304895,8.5233499719113,8.34914349582311,1.75790684998732e-05,1.77814702994745,TRUE,8.37362745178335e-05,TRUE
22,"mean","rhr_1",14,22,81.7456694221625,66.3174532235339,12.3253640970212,9.97276536994317,0.000637890056100965,1.37617425989288,TRUE,0.000932300851224487,TRUE
23,"mean","rhr_1",14,22,80.8932471926867,65.4237596747254,9.83170232432716,9.30475730479298,7.03247820693367e-05,1.61614283402377,TRUE,0.000198522437256989,TRUE
24,"mean","rhr_1",14,22,81.5184368881381,65.8466009914763,11.2355216530297,9.37266982229866,0.000217435389193738,1.51475670355338,TRUE,0.000393454513779146,TRUE
25,"mean","rhr_1",13,20,81.4890450673982,64.3916727328816,10.2338466056493,6.44296723589545,4.02122241147591e-05,1.99942982288677,TRUE,0.000138914956032804,TRUE
26,"mean","rhr_1",14,20,81.2104886065732,65.3477562892177,9.81038310406343,6.68226724914673,3.14745704856196e-05,1.88991895288651,TRUE,0.000132892630939283,TRUE
27,"mean","rhr_1",13,20,80.680977927097,65.0041376353352,10.1538627118427,7.88710479850495,0.000114322697037359,1.72435805371031,TRUE,0.000255544852201155,TRUE
