"day","stat_type","n_cataract","n_no_surgery","mean_cataract","mean_no_surgery","sd_cataract","sd_no_surgery","p_value","cohens_d","significant","p_adjusted","significant_adjusted"
25,"total",7,4,6745.28571428571,7139.75,3802.16231085618,3846.12292878599,0.874628655915969,-0.103149335459036,FALSE,0.916356170036914,FALSE
26,"max",7,4,115.285714285714,117.25,52.5538272812244,15.5429512427123,0.928999792098996,-0.050688180084702,FALSE,0.980430648349726,FALSE
26,"mean",7,4,5.50167343715873,8.02433184443589,3.70901048317444,3.42805966714548,0.292980516773053,-0.706369998433921,FALSE,0.795232831241145,FALSE
26,"median",7,4,0,0,0,0,NA,NA,NA,NA,NA
26,"total",7,4,6861.14285714286,6588.5,5657.39037096821,2679.59679802764,0.916356170036914,0.0615945045115631,FALSE,0.916356170036914,FALSE
27,"max",7,3,123.142857142857,105.333333333333,26.7296874369341,20.3059925473574,0.300622726540862,0.750312273789693,FALSE,0.980430648349726,FALSE
27,"mean",7,3,6.16212413366381,8.15008535906987,2.38409005001367,5.64137296598572,0.608731901818419,-0.45904505458094,FALSE,0.937076805609199,FALSE
27,"median",7,3,0,0,0,0,NA,NA,NA,NA,NA
27,"total",7,3,7485.85714285714,8000,3795.6949046945,3986.04026572738,0.859644725234677,-0.132101415568605,FALSE,0.916356170036914,FALSE
28,"max",7,3,114.714285714286,122,62.1281318076181,32.5115364140177,0.815225366684954,-0.146940406098677,FALSE,0.980430648349726,FALSE
28,"mean",7,3,5.8577641680647,5.9228914154189,3.96373432366172,2.23627408583699,0.974667309728947,-0.0202379040326576,FALSE,0.974667309728947,FALSE
28,"median",7,3,0,0,0,0,NA,NA,NA,NA,NA
28,"total",7,3,6976.85714285714,5859,5946.66456731759,2601.03364068979,0.690268616919454,0.243564997048563,FALSE,0.916356170036914,FALSE
29,"max",7,2,122.571428571429,101,28.958920000909,18.3847763108502,0.302871010435671,0.889356672553817,FALSE,0.980430648349726,FALSE
29,"mean",7,2,6.88894731197614,9.30097593255488,3.84869321727167,0.827980963369589,0.167888319086137,-0.86648238652765,FALSE,0.795232831241145,FALSE
29,"median",7,2,0,0,0,0,NA,NA,NA,NA,NA
29,"total",7,2,6305.14285714286,5762.5,4908.098526197,515.480843484993,0.783138557618141,0.155501173057856,FALSE,0.916356170036914,FALSE
30,"max",7,4,128.285714285714,125.25,27.8490830831363,24.91819950692,0.857611016130227,0.114883398195998,FALSE,0.980430648349726,FALSE
30,"mean",7,4,5.47933048634851,15.1347941353484,2.30074161453293,10.5014166938497,0.162459161679044,-1.27016349991481,FALSE,0.795232831241145,FALSE
30,"median",7,4,0,0,0,0,NA,NA,NA,NA,NA
30,"total",7,4,6506.85714285714,9733.25,2977.80598363803,5287.30992566163,0.322640983364575,-0.75192203233287,FALSE,0.916356170036914,FALSE
