"day","stat_type","rhr_type","p_value","f_value","significant","p_adjusted","significant_adjusted"
18,"median","rhr_50",0.00559243088684551,6.03675487429028,TRUE,0.00923966842174475,TRUE
19,"median","rhr_50",0.000517326797452635,9.24481278427836,TRUE,0.00165344626251353,TRUE
20,"median","rhr_50",0.000305159193570576,10.033526369302,TRUE,0.00120350619717087,TRUE
21,"median","rhr_50",1.54714441820817e-05,14.9132220497382,TRUE,0.000293957439459552,TRUE
22,"median","rhr_50",0.00190697022965453,7.35349344344119,TRUE,0.00392515452104078,TRUE
23,"median","rhr_50",0.00701300473703566,5.64786186359661,TRUE,0.010249776154129,TRUE
24,"median","rhr_50",0.00031671215715023,9.92242306032754,TRUE,0.00120350619717087,TRUE
25,"median","rhr_50",0.000128618886262219,11.5247624506315,TRUE,0.000698216811137761,TRUE
26,"median","rhr_50",8.29398426800572e-06,16.0312803345943,TRUE,0.000293957439459552,TRUE
27,"median","rhr_50",0.011438463607763,5.0749605125564,TRUE,0.0160985784109257,TRUE
28,"median","rhr_50",0.000522140925004271,9.39161450308641,TRUE,0.00165344626251353,TRUE
29,"median","rhr_50",0.000766983298361426,8.8663663769516,TRUE,0.00224195117982571,TRUE
30,"median","rhr_50",0.0019621711010144,7.41255731453077,TRUE,0.00392515452104078,TRUE
-6,"min","rhr_1",0.00711128839561645,5.89433267830681,TRUE,0.00931823996666983,TRUE
-5,"min","rhr_1",0.0357828616819831,3.70222574319892,TRUE,0.0388499641118673,TRUE
-4,"min","rhr_1",0.000684139074647586,8.93121248839035,TRUE,0.00142049625078604,TRUE
-3,"min","rhr_1",1.21620709788731e-05,15.3405904984807,TRUE,8.13898337956579e-05,TRUE
-2,"min","rhr_1",0.00111710797197505,8.21370665646664,TRUE,0.00202143347309771,TRUE
-1,"min","rhr_1",0.000295804582364124,10.0807185417828,TRUE,0.000802898152131193,TRUE
0,"min","rhr_1",4.4800040196315e-06,17.3299887951258,TRUE,4.25600381864992e-05,TRUE
1,"min","rhr_1",0.000265896688989447,10.1852202577213,TRUE,0.000798222793254508,TRUE
2,"min","rhr_1",1.53315778011945e-06,19.0616561850238,TRUE,2.91299978222695e-05,TRUE
3,"min","rhr_1",0.00472975011269412,6.16100600044458,TRUE,0.00665668534379173,TRUE
4,"min","rhr_1",0.000343599400247452,9.85438256756848,TRUE,0.000854286919062857,TRUE
5,"min","rhr_1",9.1417237769459e-05,11.916758652361,TRUE,0.000347385503523944,TRUE
6,"min","rhr_1",0.0157028848283074,4.64297109071475,TRUE,0.0175512592293616,TRUE
7,"min","rhr_1",0.000429113480629535,9.69184102045579,TRUE,0.000959194839054256,TRUE
8,"min","rhr_1",0.0100654136621073,5.18615788267061,TRUE,0.0119526787237524,TRUE
9,"min","rhr_1",5.48071876583447e-05,12.751934142356,TRUE,0.000231408125668566,TRUE
10,"min","rhr_1",0.00198096729590615,7.36472322137675,TRUE,0.0031365315518514,TRUE
11,"min","rhr_1",0.0452985768439679,3.36833943854344,TRUE,0.0478151644464106,TRUE
12,"min","rhr_1",0.00278693850828927,6.95800529536568,TRUE,0.0042361465325997,TRUE
13,"min","rhr_1",0.00789894709867417,5.5545176907103,TRUE,0.0100053329916539,TRUE
14,"min","rhr_1",0.00505366400967807,6.12074068969908,TRUE,0.00685854401313452,TRUE
15,"min","rhr_1",0.0157037582578499,4.64290187827341,TRUE,0.0175512592293616,TRUE
16,"min","rhr_1",0.00136644029950864,7.92437144704533,TRUE,0.00236021506278765,TRUE
17,"min","rhr_1",0.000133606215497731,11.4630834204942,TRUE,0.000461548744446707,TRUE
18,"min","rhr_1",1.49928641202528e-05,15.3640617209995,TRUE,8.13898337956579e-05,TRUE
19,"min","rhr_1",3.88307987653469e-05,13.3269623683447,TRUE,0.000184446294135398,TRUE
21,"min","rhr_1",0.00356448176007651,6.53593973912938,TRUE,0.00520962718780413,TRUE
22,"min","rhr_1",1.35272567815294e-05,15.0323691836068,TRUE,8.13898337956579e-05,TRUE
23,"min","rhr_1",0.00820498108140913,5.44623399339103,TRUE,0.0100577187449531,TRUE
24,"min","rhr_1",0.000710248125393018,8.73819523447203,TRUE,0.00142049625078604,TRUE
25,"min","rhr_1",0.00187045704757326,7.47969288041905,TRUE,0.00309032033946887,TRUE
26,"min","rhr_1",1.45725190459897e-06,19.3454831706662,TRUE,2.91299978222695e-05,TRUE
27,"min","rhr_1",0.000894767103716106,8.5361072359757,TRUE,0.0017000574970606,TRUE
28,"min","rhr_1",0.000273076218744963,10.2629164435184,TRUE,0.000798222793254508,TRUE
29,"min","rhr_1",0.000359699755394887,9.96463555704981,TRUE,0.000854286919062857,TRUE
30,"min","rhr_1",2.66039434885983e-06,18.527637025252,TRUE,3.36983284188912e-05,TRUE
-7,"min","rhr_50",0.0241492959518989,4.43125931205543,TRUE,0.0262192356049188,TRUE
-6,"min","rhr_50",0.00185318460456838,8.01345499243573,TRUE,0.00331295159217876,TRUE
-4,"min","rhr_50",0.00532786247930187,6.07548894258115,TRUE,0.00698133704184383,TRUE
-3,"min","rhr_50",0.00065631010495841,8.94307362957559,TRUE,0.00155873649927622,TRUE
-2,"min","rhr_50",0.00157894507220282,7.71871174399443,TRUE,0.00299999563718535,TRUE
-1,"min","rhr_50",3.15579962484039e-06,17.8363246469436,TRUE,0.000119920385743935,TRUE
0,"min","rhr_50",0.000125215468437468,11.4887783419585,TRUE,0.000594773475077975,TRUE
1,"min","rhr_50",0.000329024804052844,9.86541567169371,TRUE,0.00110406648871294,TRUE
2,"min","rhr_50",0.00259623383069645,6.96259102892945,TRUE,0.00394627542265861,TRUE
3,"min","rhr_50",0.00647460798093482,5.75108675587903,TRUE,0.00820117010918411,TRUE
4,"min","rhr_50",0.000381258213767925,9.69824196394173,TRUE,0.00110406648871294,TRUE
5,"min","rhr_50",0.000884351053199715,8.50790806786959,TRUE,0.00186696333453273,TRUE
6,"min","rhr_50",0.0077772494234399,5.57484450587423,TRUE,0.00953340251905536,TRUE
7,"min","rhr_50",5.39659282777368e-05,13.0725552487024,TRUE,0.000506758598433302,TRUE
9,"min","rhr_50",3.36162296101567e-05,13.570621358464,TRUE,0.000425805575061985,TRUE
10,"min","rhr_50",0.00349429471370164,6.58883227846352,TRUE,0.00491789626372823,TRUE
11,"min","rhr_50",0.0027370718235369,6.98305213896103,TRUE,0.00400033574209239,TRUE
12,"min","rhr_50",0.00382432111135655,6.5230814825072,TRUE,0.00519015007969817,TRUE
13,"min","rhr_50",0.00137302782601663,7.91750292265781,TRUE,0.00274605565203326,TRUE
14,"min","rhr_50",8.00145155421003e-05,12.3050603968442,TRUE,0.000506758598433302,TRUE
16,"min","rhr_50",0.022161575664568,4.22996259836974,TRUE,0.0247688198603995,TRUE
17,"min","rhr_50",0.00226639211891786,7.2463347038548,TRUE,0.00374447393560342,TRUE
18,"min","rhr_50",0.0025705970168476,7.1057215985751,TRUE,0.00394627542265861,TRUE
