"day","stat_type","rhr_type","n_diabetes","n_non_diabetes","mean_diabetes","mean_non_diabetes","sd_diabetes","sd_non_diabetes","p_value","cohens_d","significant","p_adjusted","significant_adjusted"
30,"mean","rhr_50",20,20,84.323186644975,75.4755401623899,9.87516236638288,7.02801263180135,0.00248780971801047,1.0323202091945,TRUE,0.00679374854313994,TRUE
-7,"median","rhr_1",17,8,74.8823529411765,65.125,8.64495772792713,4.51782185192315,0.00120387245327574,1.41465886571522,TRUE,0.00213014679711676,TRUE
-6,"median","rhr_1",18,14,75.5277777777778,67.25,8.54137373959699,9.25025987160943,0.0150818692002459,0.929787019084505,TRUE,0.0163746008459813,TRUE
-5,"median","rhr_1",20,15,75.05,66.0333333333333,10.5853672586264,6.89323339708345,0.00459405371539781,1.00946188630848,TRUE,0.00621423524359446,TRUE
-3,"median","rhr_1",24,18,72.1666666666667,64.4166666666667,9.75199719418347,7.54642494243232,0.00598932193076951,0.888839852308194,TRUE,0.00758647444564137,TRUE
-2,"median","rhr_1",24,16,72.25,62.15625,11.0029640275384,5.63240253651435,0.000524965074879433,1.15483848381296,TRUE,0.00124679205283865,TRUE
-1,"median","rhr_1",25,17,74,62.0294117647059,10.1693985400645,7.00105034136685,5.42490215036804e-05,1.37117633727017,TRUE,0.000412292563427971,TRUE
0,"median","rhr_1",24,17,73.2083333333333,63,11.0767251739722,7.64035339496806,0.00120816413971165,1.07287217039761,TRUE,0.00213014679711676,TRUE
1,"median","rhr_1",23,20,73,62.8,10.9917324302487,5.75463200158657,0.000453327754195108,1.16264715365476,TRUE,0.00121529648207166,TRUE
2,"median","rhr_1",24,19,72.125,61.1052631578947,10.2969497382984,4.99605107217585,5.35191699152975e-05,1.36166715733509,TRUE,0.000412292563427971,TRUE
3,"median","rhr_1",23,19,73.2608695652174,61.0526315789474,10.9012817899562,5.66150435652463,4.60832637039774e-05,1.40551966422988,TRUE,0.000412292563427971,TRUE
4,"median","rhr_1",23,19,74.7173913043478,61.1578947368421,10.8133188990545,6.41407443651794,1.29266852624263e-05,1.52523332891081,TRUE,0.000269189328565965,TRUE
5,"median","rhr_1",23,19,73.4347826086957,61.3421052631579,9.86073981622678,5.40589347014222,1.41678593982087e-05,1.52077346117463,TRUE,0.000269189328565965,TRUE
6,"median","rhr_1",22,19,74.2272727272727,62.4210526315789,10.8668645242657,6.45768955478389,0.000133317561122434,1.32084055985558,TRUE,0.000642916917283342,TRUE
7,"median","rhr_1",21,18,74.9523809523809,62.1388888888889,12.1263192703977,5.76960992553313,0.000167661645569704,1.34940173584043,TRUE,0.000642916917283342,TRUE
8,"median","rhr_1",21,21,74.2142857142857,65.0238095238095,8.50965837823621,8.69838518127961,0.00129457869011817,1.06809626319527,TRUE,0.00213886914019524,TRUE
9,"median","rhr_1",21,21,74.5238095238095,64.2857142857143,10.6986870578546,11.0142764498757,0.00399130395736129,0.942940283796252,TRUE,0.00583344424537419,TRUE
10,"median","rhr_1",20,21,72.85,64.7142857142857,7.22040237980653,11.2922223549789,0.00918300004487585,0.858418153007371,TRUE,0.0111815186753314,TRUE
11,"median","rhr_1",20,20,73.2,63.75,8.91834301343378,10.6468428727907,0.00430256746199339,0.962253678068784,TRUE,0.00605546531687958,TRUE
12,"median","rhr_1",19,20,72.5789473684211,63.575,9.45936214359841,9.22992130889647,0.00474244268590103,0.963468605265529,TRUE,0.00621423524359446,TRUE
13,"median","rhr_1",20,19,72.75,64.5789473684211,9.06627643639067,9.60506688896649,0.00971026621805095,0.874886460386841,TRUE,0.0111815186753314,TRUE
14,"median","rhr_1",19,21,72.5789473684211,63.5952380952381,10.345776322698,10.485250411434,0.00969475338344273,0.862512254068915,TRUE,0.0111815186753314,TRUE
15,"median","rhr_1",19,22,73.6052631578947,66.5,10.0396145169584,11.5665774663776,0.0417224103482995,0.656069833072584,TRUE,0.0440403220343161,TRUE
17,"median","rhr_1",19,21,73.0263157894737,63.0952380952381,9.48752643710345,8.14803511225106,0.00115382659208663,1.12302120690891,TRUE,0.00213014679711676,TRUE
